seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log,cluster
eaaf7bf481,15,8397.77,1,1.0,0.0,2,8397.77,15.0,9.035840545538267,2.772588722239781,0
eab0b7cb68,19,2099.0,1,1.0,0.0,1,2099.0,19.0,7.649692623711514,2.995732273553991,0
eab16d6b8e,1,2000.0,1,0.0,0.0,1,2000.0,1.0,7.601402334583733,0.6931471805599453,2
eab754e31c,77,340.6,1,0.8,0.0,2,340.6,77.0,5.833640461914415,4.356708826689592,0
eab925af31,96,2184.05,1,1.0,0.0,1,2184.05,96.0,7.689393990563066,4.574710978503383,0
eab98d600e,4998,902.94,1,1.0,0.0,1,902.94,4998.0,6.806762986508063,8.51699317141357,0
eaba5d4b7b,5,608.0,1,1.0,0.0,1,608.0,5.0,6.411818267709897,1.791759469228055,0
eabe53d4f7,1,2500.0,1,1.0,0.0,1,2500.0,1.0,7.824445930877619,0.6931471805599453,0
eabed4ab66,1,2100.0,1,1.0,0.0,1,2100.0,1.0,7.650168700845001,0.6931471805599453,0
eabf549cc3,469,942.6222222222224,2,1.0,0.0,8,942.6222222222224,469.0,6.849725897724866,6.152732694704104,6
eabf622225,25,426.495,1,1.0,0.0,2,426.495,25.0,6.057942592401985,3.258096538021482,0
eac0992026,6,199.0,1,1.0,0.0,1,199.0,6.0,5.298317366548036,1.9459101490553128,0
eac0a1e072,28,189.59,2,1.0,0.0,3,189.59,28.0,5.250124523946552,3.367295829986474,1
eac0cf6214,2,2108.5,1,1.0,0.0,1,2108.5,2.0,7.654206231564394,1.0986122886681098,0
eac0d6b99e,49,8400.0,1,1.0,0.0,1,8400.0,49.0,9.036106025364846,3.912023005428146,0
eac22841ab,20,6326.050769230769,2,1.0,0.0,3,6326.050769230769,20.0,8.752589493333241,3.044522437723423,1
eac255a369,4,427.6666666666667,2,1.0,0.0,3,427.6666666666667,4.0,6.060679616129455,1.6094379124341005,1
eac46cf4f9,69,358.0,1,1.0,0.0,1,358.0,69.0,5.883322388488279,4.248495242049359,0
eac70132f0,88,444.83,1,1.0,0.0,1,444.83,88.0,6.099937713438588,4.48863636973214,0
eac7c325a4,2,179.0,1,1.0,0.0,1,179.0,2.0,5.19295685089021,1.0986122886681098,0
eac7ea57fc,755,210.2425,1,1.0,0.0,4,210.2425,755.0,5.353006762648459,6.628041376179533,0
eac97ac30b,4,2299.0,2,1.0,0.0,1,2299.0,4.0,7.7406644019172415,1.6094379124341005,1
